"chr","start","end","n","B","S","estimate","se","z","p.value","number.tests","p.adjust","Genes","Regions","Delta_Beta"
"chr12",122458893,122458940,2,-13.7068668918623,2.25761027789146,-13.7068668918623,2.25761027789146,-6.07140524921075,1.26795765679934e-09,294857,0.000373866190810884,"BCL7A","TSS1500",-0.00531424614048609
"chr3",121902497,121902561,4,-10.1381982147258,1.67927621537256,-10.1381982147258,1.67927621537256,-6.03724278466993,1.56769766803416e-09,294857,0.000462246631303549,"CASR","TSS200;5'UTR;1stExon",-0.0293941407340913
"chr6",30071295,30071373,4,-34.8479651747683,5.78772838067646,-34.8479651747683,5.78772838067646,-6.02100908728121,1.73333025547127e-09,294857,0.000511084559137492,"TRIM31","Body;3'UTR",0.00291687483083843
"chr5",93077290,93077336,3,-15.4326318252882,2.59056166318044,-15.4326318252882,2.59056166318044,-5.9572532260597,2.56512624305333e-09,294857,0.000756345428647977,"FAM172A;POU5F2","Body;1stExon;5'UTR;TSS200",-0.0041279351790211
"chr10",49812867,49813434,12,-2.30337599610436,0.387275202590595,-2.30337599610436,0.387275202590595,-5.94764648161415,2.72025301258343e-09,294857,0.000802085642531312,"ARHGAP22","TSS200;TSS1500;5'UTR;1stExon",-0.000391175163202101
"chr7",22766657,22766992,3,-7.89049219497724,1.32732884901678,-7.89049219497724,1.32732884901678,-5.94464001955668,2.77065051590442e-09,294857,0.000816945699168031,"IL6","5'UTR;1stExon;TSS200;Body",-0.0339000171488627
"chr5",140683196,140683946,11,-10.3992251829238,1.7509226955221,-10.3992251829238,1.7509226955221,-5.9392828761197,2.86271538948444e-09,294857,0.000844091671597213,"SLC25A2","TSS200;1stExon;5'UTR;TSS1500",-0.0264713936588887
"chr15",93616894,93616966,5,-8.08015743692234,1.37102812156104,-8.08015743692234,1.37102812156104,-5.89350233584001,3.78094753901339e-09,294857,0.00111483884851087,"RGMA","1stExon;Body;TSS200;TSS1500;5'UTR",-0.0183262585650941
"chr6",33422816,33423156,10,-7.68248580795243,1.31194019726559,-7.68248580795243,1.31194019726559,-5.85582012348172,4.74661751684205e-09,294857,0.0013995734011635,"ZBTB9","Body;5'UTR",0.00696266374036
"chr17",8301118,8301192,4,-16.3705842043371,2.86727904100965,-16.3705842043371,2.86727904100965,-5.70944926189414,1.13342339373654e-08,294857,0.00334197821606976,"RNF222","TSS200;1stExon;5'UTR",-0.0149758153249992
"chr19",57630340,57630536,4,-11.378069801242,2.00495809443051,-11.378069801242,2.00495809443051,-5.67496639099274,1.38715887392764e-08,294857,0.00409013504089682,"USP29","TSS1500",-0.00171205273322447
"chr11",420266,420681,2,-12.8662089851376,2.26795308600272,-12.8662089851376,2.26795308600272,-5.67304899935756,1.40278084376427e-08,294857,0.00413619751249801,"ANO9","Body",-0.0275511572281
"chr6",32097116,32097147,2,-15.76619452005,2.77995914807366,-15.76619452005,2.77995914807366,-5.67137633334468,1.41654838211407e-08,294857,0.00417679206305007,"ATF6B;FKBPL","TSS1500;Body",-0.00790191382744576
"chr1",17475832,17476074,2,-13.1864944984808,2.32869572010079,-13.1864944984808,2.32869572010079,-5.66260949623339,1.49088181152566e-08,294857,0.00439596938301022,"","",-0.032967759981115
"chr1",30240119,30240265,2,-12.3949401040503,2.1910064715674,-12.3949401040503,2.1910064715674,-5.6571900927263,1.53871311372425e-08,294857,0.00453700332573391,"","",-0.0359833078498911
"chr1",43751363,43751376,3,-6.63723679143886,1.17390151046043,-6.63723679143886,1.17390151046043,-5.65399799923216,1.56758035722611e-08,294857,0.00462212041390619,"C1orf210","TSS200",-0.0129536326769205
"chr2",115419537,115420215,6,-8.96145872772403,1.60744533477445,-8.96145872772403,1.60744533477445,-5.5749695083606,2.47573225431714e-08,294857,0.00729986985311188,"DPP10","Body",-0.0597218915262351
"chr6",30079102,30079280,9,-14.6171273045319,2.63935395253678,-14.6171273045319,2.63935395253678,-5.5381459127461,3.05690536363137e-08,294857,0.00901349944804254,"TRIM31","Body",-0.00048757547682577
"chr3",182816873,182817584,8,-21.9483043418687,3.97282379779033,-21.9483043418687,3.97282379779033,-5.52461056895508,3.30217226336824e-08,294857,0.00973668607059968,"MCCC1","1stExon;5'UTR;TSS200;Body;TSS1500",-0.0136180782007925
"chr13",22615049,22615064,2,-25.3997217551134,4.64021973971247,-25.3997217551134,4.64021973971247,-5.47381873701681,4.4043958650578e-08,294857,0.0129866695158335,"","",-0.01064885091858
"chr1",223566646,223567002,6,-10.0505607090133,1.83657968825841,-10.0505607090133,1.83657968825841,-5.47243377092121,4.43896675058708e-08,294857,0.0130886041917785,"C1orf65","5'UTR;1stExon;TSS200",-0.0557096149763337
"chr1",211652549,211652741,3,-5.37781613454798,0.985769433156776,-5.37781613454798,0.985769433156776,-5.45545028448117,4.884889794892e-08,294857,0.0144034395025247,"RD3","Body",-0.0327620763244111
"chr22",30476089,30476254,4,-12.7765945574164,2.34633719840406,-12.7765945574164,2.34633719840406,-5.44533606086406,5.17076677851621e-08,294857,0.0152463678001295,"HORMAD2","TSS1500;TSS200",0.00144174378190485
"chr11",368440,368565,3,-5.41278734308497,0.997268330423904,-5.41278734308497,0.997268330423904,-5.42761379054741,5.71124551669712e-08,294857,0.0168400071931676,"B4GALNT4","TSS1500",-0.0508207831254812
"chr10",134998463,134998487,2,-17.5336399256646,3.26625877936115,-17.5336399256646,3.26625877936115,-5.36811107449791,7.9565549244906e-08,294857,0.0234604591537052,"KNDC1","Body",-0.0123819583163924
"chr13",91826906,91827042,3,-6.61102751980162,1.243476159405,-6.61102751980162,1.243476159405,-5.31656957779149,1.05741799781216e-07,294857,0.03117870985809,"","",0.0119556609413776
"chr6",31275718,31276664,16,-6.84236953717951,1.29209937783528,-6.84236953717951,1.29209937783528,-5.29554433238942,1.18662400285924e-07,294857,0.0349884393611068,"","",-0.0241869748597783
"chr11",368588,368683,4,-8.85513645877903,1.6804383283011,-8.85513645877903,1.6804383283011,-5.26953968476276,1.36766300693914e-07,294857,0.0403265011237055,"B4GALNT4","TSS1500",-0.040126895831043
"chr20",57426950,57427472,18,-3.26280744882771,0.619868098032591,-3.26280744882771,0.619868098032591,-5.26371248848519,1.41175168123106e-07,294857,0.0416264865472747,"GNAS;GNASAS","TSS1500;3'UTR",-0.0130827678406865
"chr16",3143041,3143250,4,-6.83676382156446,1.31975708559234,-6.83676382156446,1.31975708559234,-5.18031984537212,2.21505764447853e-07,294857,0.0653125251878006,"ZSCAN10","TSS1500;TSS200",-0.0388374131883961
"chr5",1405588,1405774,2,-15.6963499602745,3.03314483396814,-15.6963499602745,3.03314483396814,-5.17494245065099,2.27981240662443e-07,294857,0.067221864678006,"SLC6A3","Body",-0.0114702225537903
"chr2",95664233,95664359,3,-16.5180289896837,3.19542984657765,-16.5180289896837,3.19542984657765,-5.16926666607147,2.35014356261279e-07,294857,0.069295628044132,"","",-0.0144269045989754
"chr1",25228582,25228801,3,-17.1332356888093,3.32124094273053,-17.1332356888093,3.32124094273053,-5.15868495669073,2.48690361302729e-07,294857,0.0733280938626388,"RUNX3","3'UTR;Body",-0.0032512341630162
"chr11",495084,495198,2,8.5161796914022,1.65368237389073,8.5161796914022,1.65368237389073,5.14982793906522,2.60725530161346e-07,294857,0.076876747646784,"RNH1","Body",-0.0357122007862832
"chr3",113160554,113160623,2,-15.6137833301988,3.03620902016094,-15.6137833301988,3.03620902016094,-5.14252583617288,2.71069150270672e-07,294857,0.0799266364413597,"WDR52","TSS1500;TSS200",0.000601877874047724
"chr6",26271716,26271718,2,-16.3181793360299,3.17828143293336,-16.3181793360299,3.17828143293336,-5.13427765299225,2.8322971023671e-07,294857,0.0835122626712656,"HIST1H3G;HIST1H2BI","TSS200;TSS1500",0.000883325957921087
"chr22",24890809,24890833,5,-13.5025037774624,2.63270489277368,-13.5025037774624,2.63270489277368,-5.12875704927065,2.91661452593165e-07,294857,0.0859984209272629,"C22orf45;UPB1","TSS200;TSS1500",-0.0202717670504873
"chr7",154862770,154863176,3,-12.6539833407541,2.48287745583688,-12.6539833407541,2.48287745583688,-5.09649935038334,3.45991750077003e-07,294857,0.102018089452455,"HTR5A","1stExon",-0.00778153234220043
"chr11",115860954,115861018,3,-12.2208818718037,2.39958276918459,-12.2208818718037,2.39958276918459,-5.09291949781608,3.5259143619723e-07,294857,0.103964053102807,"","",0.0160912104970254
"chr6",27185676,27185764,2,8.17748642312393,1.61623506581681,8.17748642312393,1.61623506581681,5.05958978126193,4.20159410478337e-07,294857,0.123886943295411,"","",0.0917932662972002
"chr1",2885085,2885168,3,8.74454676299781,1.73766982722253,8.74454676299781,1.73766982722253,5.0323407968561,4.84526936848446e-07,294857,0.142866159018322,"","",-0.0383667069343443
"chr21",46340905,46341006,2,5.6949991301744,1.13551009164281,5.6949991301744,1.13551009164281,5.01536637330551,5.29325025644161e-07,294857,0.15607518908636,"ITGB2","5'UTR;1stExon;TSS200",-0.0182325213469918
"chr6",26273182,26273556,4,-15.7338339161311,3.14217317923778,-15.7338339161311,3.14217317923778,-5.00730959709475,5.51961074658355e-07,294857,0.162749586590539,"HIST1H2BI","TSS200;1stExon",-0.00100819787834837
"chr5",102898463,102898648,3,-34.5969216661381,6.91064758659872,-34.5969216661381,6.91064758659872,-5.00632122136125,5.54801425435084e-07,294857,0.163587083899513,"NUDT12","5'UTR;1stExon;TSS200",-0.0588684064467102
"chr3",142666108,142666476,4,-6.68511759907941,1.3360926046351,-6.68511759907941,1.3360926046351,-5.00348372252624,5.63034222907794e-07,294857,0.166014581863924,"","",-0.0141129419422078
"chr18",77376639,77377589,5,-14.2467612154497,2.84811114718755,-14.2467612154497,2.84811114718755,-5.00217880524713,5.66859765203105e-07,294857,0.167142569788492,"","",-0.0347897377532235
"chr1",11751279,11751616,2,-20.512306210703,4.10942618032839,-20.512306210703,4.10942618032839,-4.9915256560379,5.99042238096798e-07,294857,0.176631797198508,"MAD2L2;C1orf187","5'UTR;TSS1500;TSS200;1stExon",-0.00336859369261269
"chr6",26272355,26272695,2,-34.9263940540846,7.00273171092811,-34.9263940540846,7.00273171092811,-4.98753850580627,6.1153433989102e-07,294857,0.180315180857247,"HIST1H3G;HIST1H2BI","TSS1500",-0.00478974329000208
"chr11",368847,368900,2,-20.4356438485537,4.09822063551813,-20.4356438485537,4.09822063551813,-4.98646746137669,6.1493257170585e-07,294857,0.181317173295472,"B4GALNT4","TSS1500",-0.019716475208667
"chr1",10509906,10510123,4,-9.90854256903884,1.99094053494132,-9.90854256903884,1.99094053494132,-4.9768149249776,6.46390715523437e-07,294857,0.190592827207094,"CORT;APITD1","1stExon;Body;5'UTR;TSS200",0.0480422633770954
"chr6",29723301,29723315,2,12.9606647844012,2.61793415554805,12.9606647844012,2.61793415554805,4.95072221619262,7.39385776869779e-07,294857,0.218013072010492,"","",-0.0193009156401783
"chr5",98175255,98175367,2,-11.8474019567831,2.39311616051512,-11.8474019567831,2.39311616051512,-4.95061717114181,7.39785009117362e-07,294857,0.218130788433318,"","",-0.0755968919680034
"chr5",140562236,140563213,6,-9.19653660195709,1.86434517810776,-9.19653660195709,1.86434517810776,-4.93285079927701,8.10380570038799e-07,294857,0.23894638373993,"PCDHB16","1stExon",0.00339312235861262
"chr19",8808334,8809057,4,-13.1824069401114,2.67431205613036,-13.1824069401114,2.67431205613036,-4.92927028089081,8.25373222201079e-07,294857,0.243367072178544,"ACTL9","1stExon;5'UTR",-0.0366026155736332
"chr5",1849983,1850661,5,-9.29129162295873,1.89213103922048,-9.29129162295873,1.89213103922048,-4.9104905687645,9.08488258022541e-07,294857,0.267874122295752,"","",-0.0850238470473376
"chr6",30069296,30070348,16,-9.06859557065959,1.84804100270057,-9.06859557065959,1.84804100270057,-4.90713980772478,9.24141596728934e-07,294857,0.272489618786703,"","",-0.00223237113289474
"chr13",113784263,113784663,3,-12.0532964304889,2.45942006719188,-12.0532964304889,2.45942006719188,-4.90086935179443,9.54134943267469e-07,294857,0.281333366967016,"F10","Body",-0.0220588570343067
"chr20",36148604,36148791,12,-4.59322878049547,0.939547745810445,-4.59322878049547,0.939547745810445,-4.88876568644565,1.01470183492601e-06,294857,0.299191938940779,"BLCAP;NNAT","5'UTR;TSS1500",-0.00634962711755048
"chr2",128458240,128458248,2,-11.5684687513433,2.36782808241325,-11.5684687513433,2.36782808241325,-4.8856877901173,1.03068413710588e-06,294857,0.303904432614629,"SFT2D3","TSS1500",0.00422882573803635
"chr12",9217688,9217859,4,-13.2330302282319,2.71794752631992,-13.2330302282319,2.71794752631992,-4.86875853933403,1.12301526638366e-06,294857,0.331128912400086,"LOC144571","Body;TSS200",-0.063276965217116
"chr17",19436770,19436881,2,-9.88746703037114,2.04014342838654,-9.88746703037114,2.04014342838654,-4.8464568190633,1.25685928246555e-06,294857,0.370593757449945,"SLC47A1","TSS1500",-0.0425008650644843
"chr12",132976722,132977140,4,-6.46549334071124,1.33426504773916,-6.46549334071124,1.33426504773916,-4.84573387548949,1.26144513272909e-06,294857,0.371945927501101,"","",-0.041847836170729
"chr19",52264411,52264413,2,-8.01102818781654,1.65756723419645,-8.01102818781654,1.65756723419645,-4.83300346588963,1.34488444869713e-06,294857,0.39654859388949,"FPR2","TSS200",0.0282255162808964
"chr5",14581620,14581651,3,-24.7949798528767,5.1305035360521,-24.7949798528767,5.1305035360521,-4.83285503628291,1.34588792692312e-06,294857,0.396844476468771,"FAM105A","TSS1500",-0.00415160721661615
"chr5",37952447,37952644,3,-20.6300728851653,4.27317069903213,-20.6300728851653,4.27317069903213,-4.82781389702921,1.38040000739146e-06,294857,0.407020604979424,"","",-0.0162218560273873
"chr8",142183507,142183642,2,-10.8532254052596,2.25022349303017,-10.8532254052596,2.25022349303017,-4.82317664839794,1.41289734227804e-06,294857,0.416602671652075,"DENND3","Body",-0.0128651183582083
"chr21",46306688,46306700,2,-16.5445256452467,3.47076930409718,-16.5445256452467,3.47076930409718,-4.76681801516346,1.87158216646059e-06,294857,0.55184910285607,"ITGB2","Body",-0.00464852242736447
"chr2",20211771,20211868,2,-11.8537563147342,2.53243167477842,-11.8537563147342,2.53243167477842,-4.68078030802998,2.85785064653438e-06,294857,0.842657268085189,"MATN3","Body",-0.0255782755162154
"chr1",46088541,46089024,2,-9.37625650716657,2.00887571588166,-9.37625650716657,2.00887571588166,-4.66741492917669,3.05012971294105e-06,294857,0.89935209676866,"CCDC17","Body",-0.00369561295064919
"chr1",42618970,42619118,3,-15.7055621572816,3.36743130437765,-15.7055621572816,3.36743130437765,-4.66395918362593,3.10182930589806e-06,294857,0.914596083649185,"GUCA2B","1stExon;5'UTR;TSS200",-0.00682109902628373
"chr11",94278324,94278581,6,-10.0541863689615,2.16146040745414,-10.0541863689615,2.16146040745414,-4.65157091672282,3.29415951048119e-06,294857,0.971305990781953,"FUT4","1stExon",0.00775089061974656
"chr19",853145,853540,3,-12.2744038115881,2.64543857692984,-12.2744038115881,2.64543857692984,-4.6398370079842,3.48684079744395e-06,294857,1,"ELANE","Body",-0.0555264709690774
"chr6",30711580,30711644,5,-11.1267543074938,2.41064588239247,-11.1267543074938,2.41064588239247,-4.61567349595575,3.91822547662602e-06,294857,1,"IER3;FLOT1","3'UTR;TSS1500",-0.000707768027067879
"chr15",70364327,70364359,2,-21.2242956885099,4.63174836141276,-21.2242956885099,4.63174836141276,-4.58235077391728,4.5977779787457e-06,294857,1,"TLE3","Body",-0.0142605857964441
"chr1",12289560,12289777,2,-11.6168598597447,2.53596275302465,-11.6168598597447,2.53596275302465,-4.58084798204914,4.63094378058174e-06,294857,1,"VPS13D","TSS1500",-0.00683675901561592
"chr8",144810034,144810339,2,-13.7035562702384,2.9921978230173,-13.7035562702384,2.9921978230173,-4.57976279670571,4.65503559787683e-06,294857,1,"FAM83H","Body",-0.0922412268679827
"chr17",72443179,72443401,2,-9.88622674226938,2.15998412918044,-9.88622674226938,2.15998412918044,-4.57699045502733,4.7171297408276e-06,294857,1,"GPRC5C","3'UTR",-0.024486956661468
"chr2",197036640,197036780,4,-39.9068753350994,8.8102657179115,-39.9068753350994,8.8102657179115,-4.52958816599228,5.9098769309053e-06,294857,1,"STK17B","TSS1500",-0.0062778980900956
"chr6",24357985,24358683,9,-6.68931585099465,1.48552936410386,-6.68931585099465,1.48552936410386,-4.50298460106842,6.70057406230914e-06,294857,1,"KAAG1;DCDC2","1stExon;5'UTR;3'UTR;TSS200;TSS1500",-0.0113724347520712
"chr15",89786496,89786761,3,-10.587796011393,2.35327536204618,-10.587796011393,2.35327536204618,-4.49917429220305,6.82179114579856e-06,294857,1,"FANCI","TSS1500",-0.00323823292032771
"chr6",32847530,32847762,9,-6.96467292274703,1.55034955077927,-6.96467292274703,1.55034955077927,-4.49232427567468,7.04500426783774e-06,294857,1,"PPP1R2P1","Body",0.000827835776409306
"chr8",6407812,6407997,2,-11.7431618790627,2.61781030525331,-11.7431618790627,2.61781030525331,-4.48587197303678,7.26163376494885e-06,294857,1,"ANGPT2;MCPH1","Body",-0.0209160975594633
"chr17",79495320,79495324,2,-7.03541470311789,1.57214477642945,-7.03541470311789,1.57214477642945,-4.47504250791473,7.63961121616694e-06,294857,1,"FSCN2","TSS200",-0.024308858435465
"chr7",95026121,95026181,2,-9.67049921369425,2.16311292981807,-9.67049921369425,2.16311292981807,-4.47064001161862,7.79858698716538e-06,294857,1,"PON3","TSS1500",0.00145668622483019
"chr8",23563146,23563572,2,-15.158462528162,3.39293407331729,-15.158462528162,3.39293407331729,-4.46765607601137,7.908131089399e-06,294857,1,"NKX2-6","Body",-0.0163640497792172
"chr12",133757909,133758001,2,-21.7814347759445,4.88603817867388,-21.7814347759445,4.88603817867388,-4.45789287341512,8.27692456799803e-06,294857,1,"ZNF268","TSS200;1stExon;5'UTR",-0.00207859924798987
"chr10",88427813,88428177,5,8.5650686023904,1.92430080161132,8.5650686023904,1.92430080161132,4.45100298000106,8.54701556359119e-06,294857,1,"LDB3","TSS1500;TSS200",-0.0201666474037657
"chr6",33283000,33283055,4,-7.32711791857436,1.65094299374262,-7.32711791857436,1.65094299374262,-4.43814107836884,9.07391398933269e-06,294857,1,"ZBTB22;TAPBP","Body;TSS1500",0.00376684164216531
"chr10",22843847,22843938,2,5.69138685390159,1.29368404926803,5.69138685390159,1.29368404926803,4.39936386099974,1.08568660238067e-05,294857,1,"PIP4K2A","Body",0.0200665645764141
"chr19",17392161,17392384,4,-11.6045157629084,2.64772568961775,-11.6045157629084,2.64772568961775,-4.38282402456265,1.17150739195364e-05,294857,1,"ANKLE1","TSS200;TSS1500",-0.0112339910682247
"chr4",113300580,113300650,2,15.2594784213162,3.48228064434704,15.2594784213162,3.48228064434704,4.38203579199962,1.17575487477956e-05,294857,1,"ALPK1","Body",0.0179380388342864
"chr19",345306,345312,2,-9.54884991764322,2.18239177614883,-9.54884991764322,2.18239177614883,-4.37540592940359,1.21206705713219e-05,294857,1,"MIER2","TSS1500",-0.00656734241575667
"chr20",62688874,62688896,2,-6.71409384236756,1.53803898669631,-6.71409384236756,1.53803898669631,-4.3653599814068,1.26913576844495e-05,294857,1,"TCEA2","1stExon;5'UTR",-0.0310371281777812
"chr5",140515675,140515961,3,-10.580476438855,2.42995536515491,-10.580476438855,2.42995536515491,-4.35418550915669,1.33562569922942e-05,294857,1,"PCDHB5","1stExon",-0.0163121373283269
"chr5",179105010,179105170,2,-21.3572755448938,4.9059250562567,-21.3572755448938,4.9059250562567,-4.3533635960574,1.34064523564588e-05,294857,1,"","",-0.0142009146991683
"chr1",109633088,109633189,2,-17.0631826721476,3.92042502524026,-17.0631826721476,3.92042502524026,-4.35238081644016,1.34667083067551e-05,294857,1,"TMEM167B","TSS1500",0.000352474749191881
"chr1",32936780,32936861,2,-8.38038709266768,1.93159887520221,-8.38038709266768,1.93159887520221,-4.33857526024411,1.43409375736789e-05,294857,1,"ZBTB8B","Body",0.00101744671974247
"chr16",1591503,1591768,2,-19.786366381227,4.57796603130285,-19.786366381227,4.57796603130285,-4.3220867620977,1.54560382896281e-05,294857,1,"IFT140;TMEM204","Body",-0.00821774731956693
"chr19",46526483,46526489,2,-9.63651538333672,2.23384205837802,-9.63651538333672,2.23384205837802,-4.31387498824949,1.60417679322604e-05,294857,1,"PGLYRP1","TSS200",-0.0295982122937843
"chr2",127963067,127963330,2,-9.99958089478084,2.32433517657466,-9.99958089478084,2.32433517657466,-4.3021251820992,1.6916768542788e-05,294857,1,"CYP27C1","5'UTR;1stExon",-0.0198363094474442
"chr3",133464842,133465180,4,7.0224481214922,1.63486643878487,7.0224481214922,1.63486643878487,4.29542619194734,1.74358041441236e-05,294857,1,"TF","TSS200;5'UTR;1stExon",-0.0036845227122569
"chr19",38886554,38886658,2,-13.1357911703379,3.07771672159894,-13.1357911703379,3.07771672159894,-4.26803125776747,1.97205699641622e-05,294857,1,"SPRED3","Body",-0.0347309802408511
"chr19",5480264,5480734,2,-9.42215193674976,2.22201800819201,-9.42215193674976,2.22201800819201,-4.24035804481004,2.23163531136992e-05,294857,1,"","",-0.0243268869695536
"chr16",3931286,3931489,2,-14.443980994238,3.40650831380221,-14.443980994238,3.40650831380221,-4.24011323727437,2.23407056780481e-05,294857,1,"CREBBP","TSS1500",-0.00528438901968381
"chr17",40936767,40936820,2,11.5270188484495,2.72384052290126,11.5270188484495,2.72384052290126,4.23189931698779,2.31726142603204e-05,294857,1,"WNK4","Body",0.0556643330247446
"chr7",56515510,56516425,11,-10.2436818839853,2.42506251254195,-10.2436818839853,2.42506251254195,-4.22408982490428,2.39908356693354e-05,294857,1,"LOC650226","Body;TSS200;TSS1500",-0.032955859212519
