gse_id	title	platform	platform_type	sample_count	pubmed_id	suppl_has_idat
GSE207108	Monosomy X in isogenic human iPSC-derived trophoblast model impacts expression modules preserved in human placenta [Infinium methylEPIC]	GPL21145	850k	2	36161909	yes
GSE212603	Epigenome analysis of placental tissue sample from pregnant women with Sickle Cell Disease (SCD) and pregnant women without SCD.	GPL21145	850k	23	36129958	yes
GSE208529	Placental DNA methylation as mediators of assisted reproduction and parental metabolic risk on offspring phenotype: a multiethnic cohort study	GPL21145	850k	391	36046194	yes
GSE201496	Placental abnormalities are associated with type of embryo transfer in assisted reproductive technologies (ART)	GPL21145	850k	107	30239759	yes
GSE169598	DNA methylation analysis of placenta samples exposed to maternal smoking during pregnancy	GPL21145	850k	96	34538263;38885141	yes
GSE167885	Dataset for Placental Genomic and Epigenomic Signatures in Infants Borns at Extremely Low Gestational Age [DNA methylation]	GPL21145	850k	411	35121757	yes
GSE167431	Placental uptake and metabolism as determinants of pregnancy vitamin D status	GPL18573;GPL11154;GPL24676;GPL21145	850k	35	35256050	yes
GSE167429	Placental uptake and metabolism as determinants of pregnancy vitamin D status [Array]	GPL21145	850k	16	35256050	yes
GSE153221	Exposure to Gestational Diabetes Mellitus In Utero Alters DNA Methylation in Placenta and Fetal Cord Blood	GPL13534	450k	78	33549677	yes
GSE153220	Exposure to Gestational Diabetes Mellitus In Utero Alters DNA Methylation in Placenta and Fetal Cord Blood [Placenta]	GPL13534	450k	36	33549677	yes
GSE153219	Exposure to Gestational Diabetes Mellitus In Utero Alters DNA Methylation in Placenta and Fetal Cord Blood [Cord]	GPL13534	450k	42	33549677	yes
GSE144129	DNA methylation and hydroxymethylation assessment through Illumina EPIC array analysis of paired bisulfite and oxidative-bisulfite conversion	GPL21145	850k	454	38507502	yes
GSE128827	Accurate ethnicity prediction from placental DNA methylation data	GPL13534	450k	6	31399127	yes
GSE131945	Quality control measures for placental sample purity in DNA methylation array analyses	GPL21145	850k	10	31569011	yes
GSE144977	Epigenome analysis of placental DNA methylation and added sugar intake during pregnancy	GPL13534	450k	89		yes
GSE141298	DNA methylation profiling in recurrent miscarriage	GPL13534	450k	6		yes
GSE138864	A KHDC3L mutation resulting in recurrent hydatidiform mole causes genome-wide DNA methylation loss in oocytes and persistent imprinting defects post-fertilisation.	GPL21145	850k	6	31847873	yes
GSE114679	Distinct imprinting signatures and biased differentiation of human androgenetic and parthenogenetic embryonic stem cells	GPL18573;GPL16791;GPL13534	450k	64	31491396	yes
GSE125605	Epigenome-wide study of widespread hypomethylated loci associated with early-onset preeclampsia	GPL13534	450k	42	31091979	yes
GSE115508	DNA methylation profiling of acute chorioamnionitis-associated placentas and fetal membranes : insights into epigenetic variation in spontaneous preterm births	GPL21145	850k	79	30373633	yes
GSE120250	Impact of Assisted Reproduction, Infertility, Sex, and Paternal Factors on the Placental DNA Methylome	GPL13534	450k	88	30239726	yes
GSE120062	DNA Methylation data from frozen placental tissue	GPL13534	450k	38		yes
GSE115399	Methylomic Profiling of BDE-47 Effects on Human Placental Cytotrophoblasts	GPL13534	450k	12	30202865	yes
GSE106099	Human Feto-placental Arterial and Venous Endothelial Cells are Differentially Programmed by Gestational Diabetes Mellitus Resulting in Cell-specific Barrier Function	GPL13534	450k	30	30091044	yes
GSE108567	Adjusting for batch effects in DNA methylation microarray data, a lesson learned	GPL13534	450k	59	29616078;29564022	yes
GSE100197	Utility and validation in placental DNA methylation profiling of preeclampsia and intrauterine growth restriction [discovery cohort]	GPL13534	450k	102	29092053	yes
GSE98224	Placental methylation arrays for the assessment of epigenetic regulation in transcriptional subtypes of human preeclampsia	GPL6244;GPL13534	450k	96	29507646;29092053	yes
GSE106089	Epigenome analysis of placenta samples	GPL13534	450k	84	29240761	yes
GSE103413	Mining novel candidate imprinted genes using genome-wide methylation screening and literature review	GPL13534	450k	67		yes
GSE93429	Comparison of ox-BS-450k 5-hydroxymethylcytosine and BS-450k 5-methylcytosine profiles in the human placenta	GPL13534	450k	8	28678681	yes
GSE98938	Genome-scale fluctuations in the cytotrophoblast epigenome over gestation and in placental pathologies	GPL13534	450k	17		yes
GSE93208	DNA methylation profiling of first trimester villous cytotrophoblasts	GPL13534	450k	19	28678605	yes
GSE71719	DNA methylation and hydroxymethylation assessment through 450K analysis of paired bisulfite and oxidative-bisulfite conversion.	GPL13534	450k	46	27118675	yes
GSE71678	DNA methylation anaylsis of placenta samples exposed to variable levels of arsenic during pregnancy	GPL13534	450k	343	26771251;29373860	yes
GSE75248	Novel Regions of Variable DNA Methylation in Human Placenta associated with Newborn Neurobehavioral Traits	GPL13534	450k	335	27366929;29373860;28621618	yes
GSE75196	DNA methylation profiles in preeclampsia and healthy control placentas	GPL13534	450k	24	26968548	yes
GSE79262	Mechanisms and disease associations of haplotype-dependent allele specific DNA methylation	GPL11154;GPL18952;GPL13534	450k	326	27153397	yes
GSE69502	Profiling placental and fetal DNA methylation in human neural tube defects	GPL13534	450k	179	26889207	yes
GSE74738	Pervasive polymorphic imprinted methylation in the human placenta	GPL13534	450k	79	26769960	yes
GSE66210	Epigenome analysis of first trimester CVS samples from normal and Trisomy 13,18,21 pregnancies, and maternal whole blood samples.	GPL13534	450k	60	26230497	yes
