title	geo_accession	status	submission_date	last_update_date	type	channel_count	source_name_ch1	organism_ch1	characteristics_ch1	characteristics_ch1.1	characteristics_ch1.2	molecule_ch1	extract_protocol_ch1	label_ch1	label_protocol_ch1	taxid_ch1	hyb_protocol	scan_protocol	description	data_processing	platform_id	contact_name	contact_email	contact_laboratory	contact_department	contact_institute	contact_address	contact_city	contact_state	contact_zip/postal_code	contact_country	supplementary_file	supplementary_file.1	data_row_count	cell type:ch1	Sex:ch1	tissue:ch1
Oligodendrocytes_healthy_20174918	GSM9195124	Public on Aug 23 2025	Aug 22 2025	Aug 23 2025	genomic	1	Brain (Cingulate Gyrus)	Homo sapiens	Sex: Female	tissue: Brain (Cingulate Gyrus)	cell type: Oligodendrocytes	genomic DNA	Phenol-chloroform DNA extraction	Cy3 and Cy5	Illumina Infinium protocol	9606	Illumina Infinium protocol	Illumina Infinium protocol scanned using Illumina HIScan System	206154080123_R07C01	wateRmelon package (v2.10.0) in R environment (v4.4.1)	GPL21145	Ehsan,,Pishva	e.pishva@maastrichtuniversity.nl	Dementia Systems Biology Group	Psychiatry and Neuropsychology	Maastricht University	Universiteitssingel 40	Maastricht	Limburg	6229 ER	Netherlands	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9195nnn/GSM9195124/suppl/GSM9195124_206154080123_R07C01_Grn.idat.gz	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9195nnn/GSM9195124/suppl/GSM9195124_206154080123_R07C01_Red.idat.gz	0	Oligodendrocytes	Female	Brain (Cingulate Gyrus)
Neurons_healthy_20174918	GSM9195125	Public on Aug 23 2025	Aug 22 2025	Aug 23 2025	genomic	1	Brain (Cingulate Gyrus)	Homo sapiens	Sex: Female	tissue: Brain (Cingulate Gyrus)	cell type: Neurons	genomic DNA	Phenol-chloroform DNA extraction	Cy3 and Cy5	Illumina Infinium protocol	9606	Illumina Infinium protocol	Illumina Infinium protocol scanned using Illumina HIScan System	206154080123_R08C01	wateRmelon package (v2.10.0) in R environment (v4.4.1)	GPL21145	Ehsan,,Pishva	e.pishva@maastrichtuniversity.nl	Dementia Systems Biology Group	Psychiatry and Neuropsychology	Maastricht University	Universiteitssingel 40	Maastricht	Limburg	6229 ER	Netherlands	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9195nnn/GSM9195125/suppl/GSM9195125_206154080123_R08C01_Grn.idat.gz	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9195nnn/GSM9195125/suppl/GSM9195125_206154080123_R08C01_Red.idat.gz	0	Neurons	Female	Brain (Cingulate Gyrus)
Neurons_healthy_20140411	GSM9195126	Public on Aug 23 2025	Aug 22 2025	Aug 23 2025	genomic	1	Brain (Cingulate Gyrus)	Homo sapiens	Sex: Male	tissue: Brain (Cingulate Gyrus)	cell type: Neurons	genomic DNA	Phenol-chloroform DNA extraction	Cy3 and Cy5	Illumina Infinium protocol	9606	Illumina Infinium protocol	Illumina Infinium protocol scanned using Illumina HIScan System	206154250020_R03C01	wateRmelon package (v2.10.0) in R environment (v4.4.1)	GPL21145	Ehsan,,Pishva	e.pishva@maastrichtuniversity.nl	Dementia Systems Biology Group	Psychiatry and Neuropsychology	Maastricht University	Universiteitssingel 40	Maastricht	Limburg	6229 ER	Netherlands	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9195nnn/GSM9195126/suppl/GSM9195126_206154250020_R03C01_Grn.idat.gz	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9195nnn/GSM9195126/suppl/GSM9195126_206154250020_R03C01_Red.idat.gz	0	Neurons	Male	Brain (Cingulate Gyrus)
Astrocytes_healthy_20140411	GSM9195127	Public on Aug 23 2025	Aug 22 2025	Aug 23 2025	genomic	1	Brain (Cingulate Gyrus)	Homo sapiens	Sex: Male	tissue: Brain (Cingulate Gyrus)	cell type: Astrocytes	genomic DNA	Phenol-chloroform DNA extraction	Cy3 and Cy5	Illumina Infinium protocol	9606	Illumina Infinium protocol	Illumina Infinium protocol scanned using Illumina HIScan System	206154250020_R05C01	wateRmelon package (v2.10.0) in R environment (v4.4.1)	GPL21145	Ehsan,,Pishva	e.pishva@maastrichtuniversity.nl	Dementia Systems Biology Group	Psychiatry and Neuropsychology	Maastricht University	Universiteitssingel 40	Maastricht	Limburg	6229 ER	Netherlands	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9195nnn/GSM9195127/suppl/GSM9195127_206154250020_R05C01_Grn.idat.gz	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9195nnn/GSM9195127/suppl/GSM9195127_206154250020_R05C01_Red.idat.gz	0	Astrocytes	Male	Brain (Cingulate Gyrus)
Oligodendrocytes_healthy_20140411	GSM9195128	Public on Aug 23 2025	Aug 22 2025	Aug 23 2025	genomic	1	Brain (Cingulate Gyrus)	Homo sapiens	Sex: Male	tissue: Brain (Cingulate Gyrus)	cell type: Oligodendrocytes	genomic DNA	Phenol-chloroform DNA extraction	Cy3 and Cy5	Illumina Infinium protocol	9606	Illumina Infinium protocol	Illumina Infinium protocol scanned using Illumina HIScan System	206154250020_R08C01	wateRmelon package (v2.10.0) in R environment (v4.4.1)	GPL21145	Ehsan,,Pishva	e.pishva@maastrichtuniversity.nl	Dementia Systems Biology Group	Psychiatry and Neuropsychology	Maastricht University	Universiteitssingel 40	Maastricht	Limburg	6229 ER	Netherlands	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9195nnn/GSM9195128/suppl/GSM9195128_206154250020_R08C01_Grn.idat.gz	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9195nnn/GSM9195128/suppl/GSM9195128_206154250020_R08C01_Red.idat.gz	0	Oligodendrocytes	Male	Brain (Cingulate Gyrus)
Microglia_healthy_20110891	GSM9195129	Public on Aug 23 2025	Aug 22 2025	Aug 23 2025	genomic	1	Brain (Cingulate Gyrus)	Homo sapiens	Sex: Male	tissue: Brain (Cingulate Gyrus)	cell type: Microglia	genomic DNA	Phenol-chloroform DNA extraction	Cy3 and Cy5	Illumina Infinium protocol	9606	Illumina Infinium protocol	Illumina Infinium protocol scanned using Illumina HIScan System	206154250078_R03C01	wateRmelon package (v2.10.0) in R environment (v4.4.1)	GPL21145	Ehsan,,Pishva	e.pishva@maastrichtuniversity.nl	Dementia Systems Biology Group	Psychiatry and Neuropsychology	Maastricht University	Universiteitssingel 40	Maastricht	Limburg	6229 ER	Netherlands	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9195nnn/GSM9195129/suppl/GSM9195129_206154250078_R03C01_Grn.idat.gz	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9195nnn/GSM9195129/suppl/GSM9195129_206154250078_R03C01_Red.idat.gz	0	Microglia	Male	Brain (Cingulate Gyrus)
Oligodendrocytes_healthy_20110891	GSM9195130	Public on Aug 23 2025	Aug 22 2025	Aug 23 2025	genomic	1	Brain (Cingulate Gyrus)	Homo sapiens	Sex: Male	tissue: Brain (Cingulate Gyrus)	cell type: Oligodendrocytes	genomic DNA	Phenol-chloroform DNA extraction	Cy3 and Cy5	Illumina Infinium protocol	9606	Illumina Infinium protocol	Illumina Infinium protocol scanned using Illumina HIScan System	206154250078_R04C01	wateRmelon package (v2.10.0) in R environment (v4.4.1)	GPL21145	Ehsan,,Pishva	e.pishva@maastrichtuniversity.nl	Dementia Systems Biology Group	Psychiatry and Neuropsychology	Maastricht University	Universiteitssingel 40	Maastricht	Limburg	6229 ER	Netherlands	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9195nnn/GSM9195130/suppl/GSM9195130_206154250078_R04C01_Grn.idat.gz	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9195nnn/GSM9195130/suppl/GSM9195130_206154250078_R04C01_Red.idat.gz	0	Oligodendrocytes	Male	Brain (Cingulate Gyrus)
Astrocytes_healthy_20110891	GSM9195131	Public on Aug 23 2025	Aug 22 2025	Aug 23 2025	genomic	1	Brain (Cingulate Gyrus)	Homo sapiens	Sex: Male	tissue: Brain (Cingulate Gyrus)	cell type: Astrocytes	genomic DNA	Phenol-chloroform DNA extraction	Cy3 and Cy5	Illumina Infinium protocol	9606	Illumina Infinium protocol	Illumina Infinium protocol scanned using Illumina HIScan System	206154250078_R06C01	wateRmelon package (v2.10.0) in R environment (v4.4.1)	GPL21145	Ehsan,,Pishva	e.pishva@maastrichtuniversity.nl	Dementia Systems Biology Group	Psychiatry and Neuropsychology	Maastricht University	Universiteitssingel 40	Maastricht	Limburg	6229 ER	Netherlands	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9195nnn/GSM9195131/suppl/GSM9195131_206154250078_R06C01_Grn.idat.gz	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9195nnn/GSM9195131/suppl/GSM9195131_206154250078_R06C01_Red.idat.gz	0	Astrocytes	Male	Brain (Cingulate Gyrus)
Neurons_healthy_20110891	GSM9195132	Public on Aug 23 2025	Aug 22 2025	Aug 23 2025	genomic	1	Brain (Cingulate Gyrus)	Homo sapiens	Sex: Male	tissue: Brain (Cingulate Gyrus)	cell type: Neurons	genomic DNA	Phenol-chloroform DNA extraction	Cy3 and Cy5	Illumina Infinium protocol	9606	Illumina Infinium protocol	Illumina Infinium protocol scanned using Illumina HIScan System	206154250078_R07C01	wateRmelon package (v2.10.0) in R environment (v4.4.1)	GPL21145	Ehsan,,Pishva	e.pishva@maastrichtuniversity.nl	Dementia Systems Biology Group	Psychiatry and Neuropsychology	Maastricht University	Universiteitssingel 40	Maastricht	Limburg	6229 ER	Netherlands	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9195nnn/GSM9195132/suppl/GSM9195132_206154250078_R07C01_Grn.idat.gz	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9195nnn/GSM9195132/suppl/GSM9195132_206154250078_R07C01_Red.idat.gz	0	Neurons	Male	Brain (Cingulate Gyrus)
Oligodendrocytes_healthy_PDC128	GSM9195133	Public on Aug 23 2025	Aug 22 2025	Aug 23 2025	genomic	1	Brain (Cingulate Gyrus)	Homo sapiens	Sex: Female	tissue: Brain (Cingulate Gyrus)	cell type: Oligodendrocytes	genomic DNA	Phenol-chloroform DNA extraction	Cy3 and Cy5	Illumina Infinium protocol	9606	Illumina Infinium protocol	Illumina Infinium protocol scanned using Illumina HIScan System	206154250088_R01C01	wateRmelon package (v2.10.0) in R environment (v4.4.1)	GPL21145	Ehsan,,Pishva	e.pishva@maastrichtuniversity.nl	Dementia Systems Biology Group	Psychiatry and Neuropsychology	Maastricht University	Universiteitssingel 40	Maastricht	Limburg	6229 ER	Netherlands	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9195nnn/GSM9195133/suppl/GSM9195133_206154250088_R01C01_Grn.idat.gz	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9195nnn/GSM9195133/suppl/GSM9195133_206154250088_R01C01_Red.idat.gz	0	Oligodendrocytes	Female	Brain (Cingulate Gyrus)
Astrocytes_healthy_PDC128	GSM9195134	Public on Aug 23 2025	Aug 22 2025	Aug 23 2025	genomic	1	Brain (Cingulate Gyrus)	Homo sapiens	Sex: Female	tissue: Brain (Cingulate Gyrus)	cell type: Astrocytes	genomic DNA	Phenol-chloroform DNA extraction	Cy3 and Cy5	Illumina Infinium protocol	9606	Illumina Infinium protocol	Illumina Infinium protocol scanned using Illumina HIScan System	206154250088_R03C01	wateRmelon package (v2.10.0) in R environment (v4.4.1)	GPL21145	Ehsan,,Pishva	e.pishva@maastrichtuniversity.nl	Dementia Systems Biology Group	Psychiatry and Neuropsychology	Maastricht University	Universiteitssingel 40	Maastricht	Limburg	6229 ER	Netherlands	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9195nnn/GSM9195134/suppl/GSM9195134_206154250088_R03C01_Grn.idat.gz	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9195nnn/GSM9195134/suppl/GSM9195134_206154250088_R03C01_Red.idat.gz	0	Astrocytes	Female	Brain (Cingulate Gyrus)
Microglia_healthy_PDC128	GSM9195135	Public on Aug 23 2025	Aug 22 2025	Aug 23 2025	genomic	1	Brain (Cingulate Gyrus)	Homo sapiens	Sex: Female	tissue: Brain (Cingulate Gyrus)	cell type: Microglia	genomic DNA	Phenol-chloroform DNA extraction	Cy3 and Cy5	Illumina Infinium protocol	9606	Illumina Infinium protocol	Illumina Infinium protocol scanned using Illumina HIScan System	206154250088_R04C01	wateRmelon package (v2.10.0) in R environment (v4.4.1)	GPL21145	Ehsan,,Pishva	e.pishva@maastrichtuniversity.nl	Dementia Systems Biology Group	Psychiatry and Neuropsychology	Maastricht University	Universiteitssingel 40	Maastricht	Limburg	6229 ER	Netherlands	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9195nnn/GSM9195135/suppl/GSM9195135_206154250088_R04C01_Grn.idat.gz	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9195nnn/GSM9195135/suppl/GSM9195135_206154250088_R04C01_Red.idat.gz	0	Microglia	Female	Brain (Cingulate Gyrus)
Neurons_healthy_PDC128	GSM9195136	Public on Aug 23 2025	Aug 22 2025	Aug 23 2025	genomic	1	Brain (Cingulate Gyrus)	Homo sapiens	Sex: Female	tissue: Brain (Cingulate Gyrus)	cell type: Neurons	genomic DNA	Phenol-chloroform DNA extraction	Cy3 and Cy5	Illumina Infinium protocol	9606	Illumina Infinium protocol	Illumina Infinium protocol scanned using Illumina HIScan System	206154250088_R06C01	wateRmelon package (v2.10.0) in R environment (v4.4.1)	GPL21145	Ehsan,,Pishva	e.pishva@maastrichtuniversity.nl	Dementia Systems Biology Group	Psychiatry and Neuropsychology	Maastricht University	Universiteitssingel 40	Maastricht	Limburg	6229 ER	Netherlands	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9195nnn/GSM9195136/suppl/GSM9195136_206154250088_R06C01_Grn.idat.gz	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9195nnn/GSM9195136/suppl/GSM9195136_206154250088_R06C01_Red.idat.gz	0	Neurons	Female	Brain (Cingulate Gyrus)
Microglia_healthy_20163918	GSM9195137	Public on Aug 23 2025	Aug 22 2025	Aug 23 2025	genomic	1	Brain (Cingulate Gyrus)	Homo sapiens	Sex: Female	tissue: Brain (Cingulate Gyrus)	cell type: Microglia	genomic DNA	Phenol-chloroform DNA extraction	Cy3 and Cy5	Illumina Infinium protocol	9606	Illumina Infinium protocol	Illumina Infinium protocol scanned using Illumina HIScan System	206154250090_R01C01	wateRmelon package (v2.10.0) in R environment (v4.4.1)	GPL21145	Ehsan,,Pishva	e.pishva@maastrichtuniversity.nl	Dementia Systems Biology Group	Psychiatry and Neuropsychology	Maastricht University	Universiteitssingel 40	Maastricht	Limburg	6229 ER	Netherlands	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9195nnn/GSM9195137/suppl/GSM9195137_206154250090_R01C01_Grn.idat.gz	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9195nnn/GSM9195137/suppl/GSM9195137_206154250090_R01C01_Red.idat.gz	0	Microglia	Female	Brain (Cingulate Gyrus)
Astrocytes_healthy_20163918	GSM9195138	Public on Aug 23 2025	Aug 22 2025	Aug 23 2025	genomic	1	Brain (Cingulate Gyrus)	Homo sapiens	Sex: Female	tissue: Brain (Cingulate Gyrus)	cell type: Astrocytes	genomic DNA	Phenol-chloroform DNA extraction	Cy3 and Cy5	Illumina Infinium protocol	9606	Illumina Infinium protocol	Illumina Infinium protocol scanned using Illumina HIScan System	206154250090_R02C01	wateRmelon package (v2.10.0) in R environment (v4.4.1)	GPL21145	Ehsan,,Pishva	e.pishva@maastrichtuniversity.nl	Dementia Systems Biology Group	Psychiatry and Neuropsychology	Maastricht University	Universiteitssingel 40	Maastricht	Limburg	6229 ER	Netherlands	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9195nnn/GSM9195138/suppl/GSM9195138_206154250090_R02C01_Grn.idat.gz	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9195nnn/GSM9195138/suppl/GSM9195138_206154250090_R02C01_Red.idat.gz	0	Astrocytes	Female	Brain (Cingulate Gyrus)
